label	query	variantType	route	data	source
"AY.1"	"pangolin_lineage=AY.1"	"Variant of Concern"	{"pango":"AY.1","loc":[],"selected":"USA"}	[]	
"B.1.1.7"	"pangolin_lineage=B.1.1.7"	"Variant of Concern"	{"pango":"B.1.1.7","loc":[],"selected":"USA"}	[]	
"B.1.1.7 + S:E484K"	"pangolin_lineage=B.1.1.7&mutations=S:E484K"	"Variant of Concern"	{"pango":"B.1.1.7","muts":["S:E484K"],"loc":[],"selected":"USA"}	[]	
"B.1.351"	"pangolin_lineage=B.1.351"	"Variant of Concern"	{"pango":"B.1.351","selected":"USA","loc":[]}	[]	
"B.1.617.2"	"pangolin_lineage=B.1.617.2"	"Variant of Concern"	{"pango":"B.1.617.2","loc":[],"selected":"USA"}	[{"date":"2021-03-16","total_count":3836,"lineage_count":3,"total_count_rolling":3836,"lineage_count_rolling":3,"proportion":0.0007820646506777894,"proportion_ci_lower":0.00022031202667270882,"proportion_ci_upper":0.0020856719726397577,"dateTime":"2021-03-15T13:00:00.000Z"},{"date":"2021-03-17","total_count":3572,"lineage_count":0,"total_count_rolling":3704,"lineage_count_rolling":1.5,"proportion":0.00040496760259179265,"proportion_ci_lower":0.00011222102041964447,"proportion_ci_upper":0.0017311000059323511,"dateTime":"2021-03-16T13:00:00.000Z"},{"date":"2021-03-18","total_count":3808,"lineage_count":0,"total_count_rolling":3738.6666666666665,"lineage_count_rolling":1,"proportion":0.0002674750356633381,"proportion_ci_lower":0.000028858865883424725,"proportion_ci_upper":0.001249423260591076,"dateTime":"2021-03-17T13:00:00.000Z"},{"date":"2021-03-19","total_count":3590,"lineage_count":1,"total_count_rolling":3701.5,"lineage_count_rolling":1,"proportion":0.00027016074564365796,"proportion_ci_lower":0.000029147313910677848,"proportion_ci_upper":0.0012619037039932612,"dateTime":"2021-03-18T13:00:00.000Z"},{"date":"2021-03-20","total_count":2761,"lineage_count":0,"total_count_rolling":3513.4,"lineage_count_rolling":0.8,"proportion":0.0002276996641429954,"proportion_ci_lower":0.00003071553190847461,"proportion_ci_upper":0.0013297540104806327,"dateTime":"2021-03-19T13:00:00.000Z"},{"date":"2021-03-21","total_count":2511,"lineage_count":0,"total_count_rolling":3346.3333333333335,"lineage_count_rolling":0.6666666666666666,"proportion":0.00019922303018228904,"proportion_ci_lower":0.000032248644414426396,"proportion_ci_upper":0.0013960810946783697,"dateTime":"2021-03-20T13:00:00.000Z"},{"date":"2021-03-22","total_count":4499,"lineage_count":0,"total_count_rolling":3511,"lineage_count_rolling":0.5714285714285714,"proportion":0.00016275379419782723,"proportion_ci_lower":0.00003073302962858099,"proportion_ci_upper":0.0013305110390474661,"dateTime":"2021-03-21T13:00:00.000Z"},{"date":"2021-03-23","total_count":4256,"lineage_count":0,"total_count_rolling":3571,"lineage_count_rolling":0.14285714285714285,"proportion":0.00004000480057606913,"proportion_ci_lower":1.3749654144194283e-7,"proportion_ci_upper":0.0007031319173940716,"dateTime":"2021-03-22T13:00:00.000Z"},{"date":"2021-03-24","total_count":4898,"lineage_count":1,"total_count_rolling":3760.4285714285716,"lineage_count_rolling":0.2857142857142857,"proportion":0.00007597918170421304,"proportion_ci_lower":1.3058560612824908e-7,"proportion_ci_upper":0.0006678024717835277,"dateTime":"2021-03-23T13:00:00.000Z"},{"date":"2021-03-25","total_count":4547,"lineage_count":2,"total_count_rolling":3866,"lineage_count_rolling":0.5714285714285714,"proportion":0.00014780873549626782,"proportion_ci_lower":0.000027910789870828597,"proportion_ci_upper":0.0012084012479316453,"dateTime":"2021-03-24T13:00:00.000Z"},{"date":"2021-03-26","total_count":3748,"lineage_count":0,"total_count_rolling":3888.5714285714284,"lineage_count_rolling":0.42857142857142855,"proportion":0.00011021307861866275,"proportion_ci_lower":1.2625429750460085e-7,"proportion_ci_upper":0.0006456597190353348,"dateTime":"2021-03-25T13:00:00.000Z"},{"date":"2021-03-27","total_count":3115,"lineage_count":0,"total_count_rolling":3939.1428571428573,"lineage_count_rolling":0.42857142857142855,"proportion":0.00010879814317835642,"proportion_ci_lower":1.2465178066607348e-7,"proportion_ci_upper":0.0006374671205128692,"dateTime":"2021-03-26T13:00:00.000Z"},{"date":"2021-03-28","total_count":2598,"lineage_count":2,"total_count_rolling":3951.5714285714284,"lineage_count_rolling":0.7142857142857143,"proportion":0.00018075991468132028,"proportion_ci_lower":0.000027303389307357418,"proportion_ci_upper":0.0011821189526282083,"dateTime":"2021-03-27T13:00:00.000Z"},{"date":"2021-03-29","total_count":5426,"lineage_count":3,"total_count_rolling":4084,"lineage_count_rolling":1.1428571428571428,"proportion":0.0002798376941374003,"proportion_ci_lower":0.000026420867164374946,"proportion_ci_upper":0.0011439309096177297,"dateTime":"2021-03-28T13:00:00.000Z"},{"date":"2021-03-30","total_count":4739,"lineage_count":0,"total_count_rolling":4153,"lineage_count_rolling":1.1428571428571428,"proportion":0.00027518833201472257,"proportion_ci_lower":0.000025981877058390928,"proportion_ci_upper":0.0011249346249609937,"dateTime":"2021-03-29T13:00:00.000Z"},{"date":"2021-03-31","total_count":5308,"lineage_count":2,"total_count_rolling":4211.571428571428,"lineage_count_rolling":1.2857142857142858,"proportion":0.00030528136766052715,"proportion_ci_lower":0.000025617916443274935,"proportion_ci_upper":0.0011091848009330274,"dateTime":"2021-03-30T13:00:00.000Z"},{"date":"2021-04-01","total_count":5817,"lineage_count":8,"total_count_rolling":4393,"lineage_count_rolling":2.142857142857143,"proportion":0.0004877890149913824,"proportion_ci_lower":0.00009461805448180277,"proportion_ci_upper":0.0014597454644378338,"dateTime":"2021-03-31T13:00:00.000Z"},{"date":"2021-04-02","total_count":4681,"lineage_count":1,"total_count_rolling":4526.285714285715,"lineage_count_rolling":2.2857142857142856,"proportion":0.0005049867440979674,"proportion_ci_lower":0.00009183729680355669,"proportion_ci_upper":0.0014168730148522712,"dateTime":"2021-04-01T13:00:00.000Z"},{"date":"2021-04-03","total_count":3189,"lineage_count":1,"total_count_rolling":4536.857142857143,"lineage_count_rolling":2.4285714285714284,"proportion":0.0005352981925813967,"proportion_ci_lower":0.000091614609779597,"proportion_ci_upper":0.0014134396537615057,"dateTime":"2021-04-02T13:00:00.000Z"},{"date":"2021-04-04","total_count":2395,"lineage_count":2,"total_count_rolling":4507.857142857143,"lineage_count_rolling":2.4285714285714284,"proportion":0.0005387418792584376,"proportion_ci_lower":0.00009220403820230753,"proportion_ci_upper":0.0014225273644814518,"dateTime":"2021-04-03T13:00:00.000Z"},{"date":"2021-04-05","total_count":5979,"lineage_count":4,"total_count_rolling":4586.857142857143,"lineage_count_rolling":2.5714285714285716,"proportion":0.0005606079481749096,"proportion_ci_lower":0.00018423524547825365,"proportion_ci_upper":0.0017444032974217594,"dateTime":"2021-04-04T14:00:00.000Z"},{"date":"2021-04-06","total_count":5490,"lineage_count":8,"total_count_rolling":4694.142857142857,"lineage_count_rolling":3.7142857142857144,"proportion":0.000791259624456009,"proportion_ci_lower":0.0002877085770419999,"proportion_ci_upper":0.0020249883041221217,"dateTime":"2021-04-05T14:00:00.000Z"},{"date":"2021-04-07","total_count":5568,"lineage_count":4,"total_count_rolling":4731.285714285715,"lineage_count_rolling":4,"proportion":0.000845436154473263,"proportion_ci_lower":0.0002854579667378464,"proportion_ci_upper":0.002009161425965522,"dateTime":"2021-04-06T14:00:00.000Z"},{"date":"2021-04-08","total_count":5316,"lineage_count":5,"total_count_rolling":4659.714285714285,"lineage_count_rolling":3.5714285714285716,"proportion":0.0007664479735115581,"proportion_ci_lower":0.00028980822281311693,"proportion_ci_upper":0.0020397533662059875,"dateTime":"2021-04-07T14:00:00.000Z"},{"date":"2021-04-09","total_count":5602,"lineage_count":7,"total_count_rolling":4791.285714285715,"lineage_count_rolling":4.428571428571429,"proportion":0.0009242970869733743,"proportion_ci_lower":0.0002818822366541957,"proportion_ci_upper":0.0019840155173510565,"dateTime":"2021-04-08T14:00:00.000Z"},{"date":"2021-04-10","total_count":4189,"lineage_count":6,"total_count_rolling":4934.142857142857,"lineage_count_rolling":5.142857142857143,"proportion":0.0010423000086858334,"proportion_ci_lower":0.000386780607616271,"proportion_ci_upper":0.002219872594749761,"dateTime":"2021-04-09T14:00:00.000Z"},{"date":"2021-04-11","total_count":3275,"lineage_count":14,"total_count_rolling":5059.857142857143,"lineage_count_rolling":6.857142857142857,"proportion":0.0013552048335639063,"proportion_ci_lower":0.0006189944383251607,"proportion_ci_upper":0.0027143003464956683,"dateTime":"2021-04-10T14:00:00.000Z"},{"date":"2021-04-12","total_count":6087,"lineage_count":21,"total_count_rolling":5075.285714285715,"lineage_count_rolling":9.285714285714286,"proportion":0.0018295943929968756,"proportion_ci_lower":0.0008778394219591398,"proportion_ci_upper":0.003234155261205185,"dateTime":"2021-04-11T14:00:00.000Z"},{"date":"2021-04-13","total_count":5679,"lineage_count":17,"total_count_rolling":5102.285714285715,"lineage_count_rolling":10.571428571428571,"proportion":0.0020719005487736587,"proportion_ci_lower":0.0011460103645254693,"proportion_ci_upper":0.0037283194386932283,"dateTime":"2021-04-12T14:00:00.000Z"},{"date":"2021-04-14","total_count":5631,"lineage_count":11,"total_count_rolling":5111.285714285715,"lineage_count_rolling":11.571428571428571,"proportion":0.0022638978171553143,"proportion_ci_lower":0.0012840996564662645,"proportion_ci_upper":0.0039729394049891065,"dateTime":"2021-04-13T14:00:00.000Z"},{"date":"2021-04-15","total_count":5681,"lineage_count":28,"total_count_rolling":5163.428571428572,"lineage_count_rolling":14.857142857142858,"proportion":0.002877379371403276,"proportion_ci_lower":0.0016994463801053381,"proportion_ci_upper":0.004666567192518123,"dateTime":"2021-04-14T14:00:00.000Z"},{"date":"2021-04-16","total_count":4480,"lineage_count":16,"total_count_rolling":5003.142857142857,"lineage_count_rolling":16.142857142857142,"proportion":0.0032265433156301753,"proportion_ci_lower":0.0019046624611592045,"proportion_ci_upper":0.005064469215654177,"dateTime":"2021-04-15T14:00:00.000Z"},{"date":"2021-04-17","total_count":3261,"lineage_count":18,"total_count_rolling":4870.571428571428,"lineage_count_rolling":17.857142857142858,"proportion":0.0036663342523611197,"proportion_ci_lower":0.0022706094747178933,"proportion_ci_upper":0.005708162045384491,"dateTime":"2021-04-16T14:00:00.000Z"},{"date":"2021-04-18","total_count":2264,"lineage_count":14,"total_count_rolling":4726.142857142857,"lineage_count_rolling":17.857142857142858,"proportion":0.003778375600761721,"proportion_ci_lower":0.002340322435468959,"proportion_ci_upper":0.005883104358597291,"dateTime":"2021-04-17T14:00:00.000Z"},{"date":"2021-04-19","total_count":5217,"lineage_count":45,"total_count_rolling":4601.857142857143,"lineage_count_rolling":21.285714285714285,"proportion":0.004625461770092819,"proportion_ci_lower":0.00291243956057563,"proportion_ci_upper":0.00683562449242181,"dateTime":"2021-04-18T14:00:00.000Z"},{"date":"2021-04-20","total_count":4409,"lineage_count":33,"total_count_rolling":4420.428571428572,"lineage_count_rolling":23.571428571428573,"proportion":0.005332385353714895,"proportion_ci_lower":0.003572685357869749,"proportion_ci_upper":0.007933274041545313,"dateTime":"2021-04-19T14:00:00.000Z"},{"date":"2021-04-21","total_count":4526,"lineage_count":37,"total_count_rolling":4262.571428571428,"lineage_count_rolling":27.285714285714285,"proportion":0.006401233326630471,"proportion_ci_lower":0.004273238476494226,"proportion_ci_upper":0.009062839763689823,"dateTime":"2021-04-20T14:00:00.000Z"},{"date":"2021-04-22","total_count":4326,"lineage_count":40,"total_count_rolling":4069,"lineage_count_rolling":29,"proportion":0.0071270582452691075,"proportion_ci_lower":0.004878866989195124,"proportion_ci_upper":0.010075030814605257,"dateTime":"2021-04-21T14:00:00.000Z"},{"date":"2021-04-23","total_count":3763,"lineage_count":33,"total_count_rolling":3966.5714285714284,"lineage_count_rolling":31.428571428571427,"proportion":0.007923359504429878,"proportion_ci_lower":0.00541962048601482,"proportion_ci_upper":0.010926159110020817,"dateTime":"2021-04-22T14:00:00.000Z"},{"date":"2021-04-24","total_count":2518,"lineage_count":26,"total_count_rolling":3860.4285714285716,"lineage_count_rolling":32.57142857142857,"proportion":0.008437257151315545,"proportion_ci_lower":0.005999657045491734,"proportion_ci_upper":0.011834460170335515,"dateTime":"2021-04-23T14:00:00.000Z"},{"date":"2021-04-25","total_count":2302,"lineage_count":36,"total_count_rolling":3865.8571428571427,"lineage_count_rolling":35.714285714285715,"proportion":0.00923838734710469,"proportion_ci_lower":0.0066387033870079215,"proportion_ci_upper":0.012718674153312959,"dateTime":"2021-04-24T14:00:00.000Z"},{"date":"2021-04-26","total_count":5046,"lineage_count":57,"total_count_rolling":3841.4285714285716,"lineage_count_rolling":37.42857142857143,"proportion":0.009743399033097806,"proportion_ci_lower":0.006900715070421722,"proportion_ci_upper":0.013102893160609086,"dateTime":"2021-04-25T14:00:00.000Z"},{"date":"2021-04-27","total_count":4470,"lineage_count":52,"total_count_rolling":3850.1428571428573,"lineage_count_rolling":40.142857142857146,"proportion":0.010426329264220251,"proportion_ci_lower":0.0075425714900329635,"proportion_ci_upper":0.013971651100122884,"dateTime":"2021-04-26T14:00:00.000Z"},{"date":"2021-04-28","total_count":4256,"lineage_count":44,"total_count_rolling":3811.5714285714284,"lineage_count_rolling":41.142857142857146,"proportion":0.010794198118511301,"proportion_ci_lower":0.007840435978805845,"proportion_ci_upper":0.014412374113136783,"dateTime":"2021-04-27T14:00:00.000Z"},{"date":"2021-04-29","total_count":4215,"lineage_count":52,"total_count_rolling":3795.714285714286,"lineage_count_rolling":42.857142857142854,"proportion":0.011290929619872036,"proportion_ci_lower":0.008322016598710576,"proportion_ci_upper":0.01507749609488196,"dateTime":"2021-04-28T14:00:00.000Z"},{"date":"2021-04-30","total_count":3855,"lineage_count":48,"total_count_rolling":3808.8571428571427,"lineage_count_rolling":45,"proportion":0.011814567549321132,"proportion_ci_lower":0.008742359551820983,"proportion_ci_upper":0.01562673442455287,"dateTime":"2021-04-29T14:00:00.000Z"},{"date":"2021-05-01","total_count":2529,"lineage_count":25,"total_count_rolling":3810.4285714285716,"lineage_count_rolling":44.857142857142854,"proportion":0.011772204101525886,"proportion_ci_lower":0.008740061558865232,"proportion_ci_upper":0.015622641109617752,"dateTime":"2021-04-30T14:00:00.000Z"},{"date":"2021-05-02","total_count":2020,"lineage_count":36,"total_count_rolling":3770.1428571428573,"lineage_count_rolling":44.857142857142854,"proportion":0.01189799552877875,"proportion_ci_lower":0.008832933602791275,"proportion_ci_upper":0.01578806406241684,"dateTime":"2021-05-01T14:00:00.000Z"},{"date":"2021-05-03","total_count":4592,"lineage_count":61,"total_count_rolling":3705.285714285714,"lineage_count_rolling":45.42857142857143,"proportion":0.012260477310405984,"proportion_ci_lower":0.00898813423130054,"proportion_ci_upper":0.016064478823489936,"dateTime":"2021-05-02T14:00:00.000Z"},{"date":"2021-05-04","total_count":3665,"lineage_count":59,"total_count_rolling":3590.285714285714,"lineage_count_rolling":46.42857142857143,"proportion":0.012931720515677226,"proportion_ci_lower":0.009515314047295354,"proportion_ci_upper":0.01689585588644471,"dateTime":"2021-05-03T14:00:00.000Z"},{"date":"2021-05-05","total_count":3643,"lineage_count":70,"total_count_rolling":3502.714285714286,"lineage_count_rolling":50.142857142857146,"proportion":0.01431542885109507,"proportion_ci_lower":0.01073540625581938,"proportion_ci_upper":0.0186131121855313,"dateTime":"2021-05-04T14:00:00.000Z"},{"date":"2021-05-06","total_count":3212,"lineage_count":69,"total_count_rolling":3359.4285714285716,"lineage_count_rolling":52.57142857142857,"proportion":0.01564891988433407,"proportion_ci_lower":0.011970130595596014,"proportion_ci_upper":0.020420240874244433,"dateTime":"2021-05-05T14:00:00.000Z"},{"date":"2021-05-07","total_count":2599,"lineage_count":48,"total_count_rolling":3180,"lineage_count_rolling":52.57142857142857,"proportion":0.016531895777178795,"proportion_ci_lower":0.012645243244437256,"proportion_ci_upper":0.021566723486593276,"dateTime":"2021-05-06T14:00:00.000Z"},{"date":"2021-05-08","total_count":1643,"lineage_count":43,"total_count_rolling":3053.4285714285716,"lineage_count_rolling":55.142857142857146,"proportion":0.01805932441283803,"proportion_ci_lower":0.013742110531408494,"proportion_ci_upper":0.02320066545585875,"dateTime":"2021-05-07T14:00:00.000Z"},{"date":"2021-05-09","total_count":1451,"lineage_count":22,"total_count_rolling":2972.1428571428573,"lineage_count_rolling":53.142857142857146,"proportion":0.01788031723143475,"proportion_ci_lower":0.013532099509132355,"proportion_ci_upper":0.023071945117534742,"dateTime":"2021-05-08T14:00:00.000Z"},{"date":"2021-05-10","total_count":3039,"lineage_count":47,"total_count_rolling":2750.285714285714,"lineage_count_rolling":51.142857142857146,"proportion":0.018595470600457097,"proportion_ci_lower":0.013996108960767112,"proportion_ci_upper":0.024106761851705127,"dateTime":"2021-05-09T14:00:00.000Z"},{"date":"2021-05-11","total_count":2529,"lineage_count":67,"total_count_rolling":2588,"lineage_count_rolling":52.285714285714285,"proportion":0.02020313534996688,"proportion_ci_lower":0.015209288154408647,"proportion_ci_upper":0.026048017442537708,"dateTime":"2021-05-10T14:00:00.000Z"},{"date":"2021-05-12","total_count":2394,"lineage_count":63,"total_count_rolling":2409.5714285714284,"lineage_count_rolling":51.285714285714285,"proportion":0.021284164344578173,"proportion_ci_lower":0.015975675764742837,"proportion_ci_upper":0.027496341617802678,"dateTime":"2021-05-11T14:00:00.000Z"},{"date":"2021-05-13","total_count":2079,"lineage_count":66,"total_count_rolling":2247.714285714286,"lineage_count_rolling":50.857142857142854,"proportion":0.022626159908478452,"proportion_ci_lower":0.01713008415271692,"proportion_ci_upper":0.02947072806803841,"dateTime":"2021-05-12T14:00:00.000Z"},{"date":"2021-05-14","total_count":1700,"lineage_count":62,"total_count_rolling":2119.285714285714,"lineage_count_rolling":52.857142857142854,"proportion":0.02494101786316144,"proportion_ci_lower":0.01899552055624261,"proportion_ci_upper":0.03232357998088198,"dateTime":"2021-05-13T14:00:00.000Z"},{"date":"2021-05-15","total_count":1766,"lineage_count":58,"total_count_rolling":2136.8571428571427,"lineage_count_rolling":55,"proportion":0.025738735125016714,"proportion_ci_lower":0.01965013988304771,"proportion_ci_upper":0.03310656898784925,"dateTime":"2021-05-14T14:00:00.000Z"},{"date":"2021-05-16","total_count":881,"lineage_count":36,"total_count_rolling":2055.4285714285716,"lineage_count_rolling":57,"proportion":0.027731442869057547,"proportion_ci_lower":0.021286855981825357,"proportion_ci_upper":0.03551583624294341,"dateTime":"2021-05-15T14:00:00.000Z"},{"date":"2021-05-17","total_count":2187,"lineage_count":88,"total_count_rolling":1933.7142857142858,"lineage_count_rolling":62.857142857142854,"proportion":0.03250591016548463,"proportion_ci_lower":0.02534826138557421,"proportion_ci_upper":0.04119861643750311,"dateTime":"2021-05-16T14:00:00.000Z"},{"date":"2021-05-18","total_count":1628,"lineage_count":65,"total_count_rolling":1805,"lineage_count_rolling":62.57142857142857,"proportion":0.034665611396913334,"proportion_ci_lower":0.02716683773303602,"proportion_ci_upper":0.04412848573848105,"dateTime":"2021-05-17T14:00:00.000Z"},{"date":"2021-05-19","total_count":1351,"lineage_count":54,"total_count_rolling":1656,"lineage_count_rolling":61.285714285714285,"proportion":0.03700828157349897,"proportion_ci_lower":0.02855703644783644,"proportion_ci_upper":0.04673078128234043,"dateTime":"2021-05-18T14:00:00.000Z"},{"date":"2021-05-20","total_count":1281,"lineage_count":62,"total_count_rolling":1542,"lineage_count_rolling":60.714285714285715,"proportion":0.03937372614415416,"proportion_ci_lower":0.03067763452990019,"proportion_ci_upper":0.05016588865300253,"dateTime":"2021-05-19T14:00:00.000Z"},{"date":"2021-05-21","total_count":977,"lineage_count":54,"total_count_rolling":1438.7142857142858,"lineage_count_rolling":59.57142857142857,"proportion":0.041406017277330946,"proportion_ci_lower":0.032271985800462276,"proportion_ci_upper":0.052959529434911445,"dateTime":"2021-05-20T14:00:00.000Z"},{"date":"2021-05-22","total_count":540,"lineage_count":27,"total_count_rolling":1263.5714285714287,"lineage_count_rolling":55.142857142857146,"proportion":0.04364047484454494,"proportion_ci_lower":0.03329103576971371,"proportion_ci_upper":0.05582058526296063,"dateTime":"2021-05-21T14:00:00.000Z"},{"date":"2021-05-23","total_count":424,"lineage_count":24,"total_count_rolling":1198.2857142857142,"lineage_count_rolling":53.42857142857143,"proportion":0.04458750596089652,"proportion_ci_lower":0.033675887033196066,"proportion_ci_upper":0.05700243569542296,"dateTime":"2021-05-22T14:00:00.000Z"},{"date":"2021-05-24","total_count":937,"lineage_count":59,"total_count_rolling":1019.7142857142857,"lineage_count_rolling":49.285714285714285,"proportion":0.048332866349117404,"proportion_ci_lower":0.036173177587298815,"proportion_ci_upper":0.062464015303842824,"dateTime":"2021-05-23T14:00:00.000Z"},{"date":"2021-05-25","total_count":795,"lineage_count":51,"total_count_rolling":900.7142857142857,"lineage_count_rolling":47.285714285714285,"proportion":0.052498017446471056,"proportion_ci_lower":0.03905705725798958,"proportion_ci_upper":0.06814107305769046,"dateTime":"2021-05-24T14:00:00.000Z"},{"date":"2021-05-26","total_count":656,"lineage_count":42,"total_count_rolling":801.4285714285714,"lineage_count_rolling":45.57142857142857,"proportion":0.056862745098039215,"proportion_ci_lower":0.04288781225335899,"proportion_ci_upper":0.07515781260932441,"dateTime":"2021-05-25T14:00:00.000Z"},{"date":"2021-05-27","total_count":601,"lineage_count":55,"total_count_rolling":704.2857142857143,"lineage_count_rolling":44.57142857142857,"proportion":0.06328600405679513,"proportion_ci_lower":0.04761658200903649,"proportion_ci_upper":0.08379872221058338,"dateTime":"2021-05-26T14:00:00.000Z"},{"date":"2021-05-28","total_count":466,"lineage_count":39,"total_count_rolling":631.2857142857143,"lineage_count_rolling":42.42857142857143,"proportion":0.06720977596741344,"proportion_ci_lower":0.049070539017800195,"proportion_ci_upper":0.08801399847239821,"dateTime":"2021-05-27T14:00:00.000Z"},{"date":"2021-05-29","total_count":278,"lineage_count":24,"total_count_rolling":593.8571428571429,"lineage_count_rolling":42,"proportion":0.07072407986528746,"proportion_ci_lower":0.05215607293549009,"proportion_ci_upper":0.09342652634737247,"dateTime":"2021-05-28T14:00:00.000Z"},{"date":"2021-05-30","total_count":156,"lineage_count":16,"total_count_rolling":555.5714285714286,"lineage_count_rolling":40.857142857142854,"proportion":0.07354075597840061,"proportion_ci_lower":0.05420771197438515,"proportion_ci_upper":0.09769530829270612,"dateTime":"2021-05-29T14:00:00.000Z"},{"date":"2021-05-31","total_count":88,"lineage_count":11,"total_count_rolling":434.2857142857143,"lineage_count_rolling":34,"proportion":0.07828947368421053,"proportion_ci_lower":0.05583656556199874,"proportion_ci_upper":0.10644261370834784,"dateTime":"2021-05-30T14:00:00.000Z"},{"date":"2021-06-01","total_count":246,"lineage_count":33,"total_count_rolling":355.85714285714283,"lineage_count_rolling":31.428571428571427,"proportion":0.08831794460056203,"proportion_ci_lower":0.061113255788086615,"proportion_ci_upper":0.11972026234752797,"dateTime":"2021-05-31T14:00:00.000Z"},{"date":"2021-06-02","total_count":61,"lineage_count":7,"total_count_rolling":270.85714285714283,"lineage_count_rolling":26.428571428571427,"proportion":0.09757383966244726,"proportion_ci_lower":0.06515913082639391,"proportion_ci_upper":0.13529111719398546,"dateTime":"2021-06-01T14:00:00.000Z"},{"date":"2021-06-03","total_count":37,"lineage_count":11,"total_count_rolling":190.28571428571428,"lineage_count_rolling":20.142857142857142,"proportion":0.10585585585585586,"proportion_ci_lower":0.067608921986832,"proportion_ci_upper":0.15482240246514944,"dateTime":"2021-06-02T14:00:00.000Z"},{"date":"2021-06-04","total_count":38,"lineage_count":3,"total_count_rolling":129.14285714285714,"lineage_count_rolling":15,"proportion":0.1161504424778761,"proportion_ci_lower":0.06956401825388776,"proportion_ci_upper":0.17996347037688465,"dateTime":"2021-06-03T14:00:00.000Z"},{"date":"2021-06-05","total_count":4,"lineage_count":2,"total_count_rolling":90,"lineage_count_rolling":11.857142857142858,"proportion":0.13174603174603175,"proportion_ci_lower":0.07500556245787268,"proportion_ci_upper":0.2147696831351663,"dateTime":"2021-06-04T14:00:00.000Z"},{"date":"2021-06-06","total_count":2,"lineage_count":1,"total_count_rolling":68,"lineage_count_rolling":9.714285714285714,"proportion":0.14285714285714285,"proportion_ci_lower":0.07819539739055222,"proportion_ci_upper":0.24518355196711816,"dateTime":"2021-06-05T14:00:00.000Z"},{"date":"2021-06-07","total_count":22,"lineage_count":6,"total_count_rolling":58.57142857142857,"lineage_count_rolling":9,"proportion":0.15365853658536585,"proportion_ci_lower":0.07825092981925634,"proportion_ci_upper":0.25990791494680565,"dateTime":"2021-06-06T14:00:00.000Z"},{"date":"2021-06-09","total_count":8,"lineage_count":0,"total_count_rolling":18.5,"lineage_count_rolling":3.8333333333333335,"proportion":0.20720720720720723,"proportion_ci_lower":0.08002207201629771,"proportion_ci_upper":0.4457985931739338,"dateTime":"2021-06-08T14:00:00.000Z"}]	
